total_meters,price,floor,floors_count,rooms_count,relative_floor
32.0,13590000,10,18,1,0.5555555555555556
35.5,12000000,3,17,1,0.17647058823529413
35.4,13880000,3,17,1,0.17647058823529413
42.5,7150000,5,9,1,0.5555555555555556
37.5,7800000,3,19,1,0.15789473684210525
54.8,40948000,8,13,1,0.6153846153846154
26.6,7500000,2,9,1,0.2222222222222222
20.5,4270000,1,22,1,0.045454545454545456
44.4,18000000,2,20,1,0.1
41.1,33000000,16,36,1,0.4444444444444444
40.8,11400000,9,16,1,0.5625
35.0,25800000,8,9,1,0.8888888888888888
29.0,37000000,5,6,1,0.8333333333333334
40.0,11500000,11,20,1,0.55
44.5,17900000,4,22,1,0.18181818181818182
36.9,8800000,7,9,1,0.7777777777777778
32.0,16700000,6,9,1,0.6666666666666666
40.0,8490000,6,12,1,0.5
65.0,29000000,23,38,1,0.6052631578947368
31.0,9500000,3,5,1,0.6
34.7,10000000,9,9,1,1.0
61.3,42900000,11,12,1,0.9166666666666666
30.1,9999999,5,5,1,1.0
38.0,10499000,6,16,1,0.375
31.4,9200000,1,5,1,0.2
35.0,8500000,8,12,1,0.6666666666666666
70.0,35700000,13,21,1,0.6190476190476191
35.1,15950000,5,12,1,0.4166666666666667
22.54,6500000,11,25,1,0.44
44.9,5800000,3,3,1,1.0
40.0,11600000,22,24,1,0.9166666666666666
39.1,10500000,11,18,1,0.6111111111111112
38.1,11900000,11,17,1,0.6470588235294118
32.0,18700000,11,28,1,0.39285714285714285
32.8,8560000,1,9,1,0.1111111111111111
42.7,27700000,8,11,1,0.7272727272727273
34.1,19000000,5,12,1,0.4166666666666667
35.3,8990000,5,12,1,0.4166666666666667
34.0,25700000,4,8,1,0.5
31.5,10700000,8,14,1,0.5714285714285714
19.5,4150000,1,22,1,0.045454545454545456
34.7,5400000,2,3,1,0.6666666666666666
45.3,23900000,9,31,1,0.2903225806451613
46.7,10750000,17,17,1,1.0
38.8,22600000,18,24,1,0.75
43.3,27200000,10,15,1,0.6666666666666666
39.0,9450000,2,14,1,0.14285714285714285
57.0,35000000,3,29,1,0.10344827586206896
36.0,9900000,9,9,1,1.0
34.0,9000000,1,12,1,0.08333333333333333
36.8,20000000,9,12,1,0.75
41.0,11500000,2,12,1,0.16666666666666666
39.1,8500000,1,14,1,0.07142857142857142
32.5,13100000,3,9,1,0.3333333333333333
32.0,5380000,2,3,1,0.6666666666666666
34.9,13000000,9,12,1,0.75
42.1,18500000,4,4,1,1.0
41.5,39000000,11,21,1,0.5238095238095238
39.0,13200000,16,24,1,0.6666666666666666
31.9,17490000,9,23,1,0.391304347826087
35.9,18600000,23,23,1,1.0
39.5,10250000,9,12,1,0.75
30.7,8600000,1,12,1,0.08333333333333333
41.0,13000000,12,25,1,0.48
35.0,11990000,2,12,1,0.16666666666666666
24.0,12800000,1,29,1,0.034482758620689655
37.0,15200000,15,24,1,0.625
50.0,22000000,2,33,1,0.06060606060606061
41.0,22600000,2,18,1,0.1111111111111111
32.9,9000000,4,10,1,0.4
36.4,13250000,3,10,1,0.3
45.0,22550000,5,18,1,0.2777777777777778
42.0,8700000,7,17,1,0.4117647058823529
38.0,30400000,3,15,1,0.2
33.0,7050000,4,9,1,0.4444444444444444
38.3,10400000,1,12,1,0.08333333333333333
30.0,6470000,9,12,1,0.75
33.0,11200000,9,9,1,1.0
27.0,12300000,16,17,1,0.9411764705882353
36.0,9500000,9,12,1,0.75
37.2,19999999,1,9,1,0.1111111111111111
39.5,12800000,9,24,1,0.375
41.0,29900000,7,22,1,0.3181818181818182
29.7,10900000,8,12,1,0.6666666666666666
37.3,21200000,2,30,1,0.06666666666666667
32.1,9600000,7,9,1,0.7777777777777778
34.4,10000000,13,18,1,0.7222222222222222
38.79,11700000,12,12,1,1.0
31.4,15000000,5,9,1,0.5555555555555556
30.3,16000000,16,24,1,0.6666666666666666
33.7,17500000,5,9,1,0.5555555555555556
41.0,12950000,10,17,1,0.5882352941176471
41.8,42500000,7,8,1,0.875
33.0,15490000,9,9,1,1.0
33.0,9000000,9,9,1,1.0
37.0,14999000,12,31,1,0.3870967741935484
36.0,15250000,3,13,1,0.23076923076923078
34.0,9990000,1,5,1,0.2
37.0,14200000,2,22,1,0.09090909090909091
35.0,12300000,12,14,1,0.8571428571428571
43.2,17200000,15,23,1,0.6521739130434783
48.0,25000000,13,30,1,0.43333333333333335
32.0,17500000,22,25,1,0.88
46.0,15500000,7,10,1,0.7
60.0,26000000,3,6,1,0.5
66.3,34000000,8,9,1,0.8888888888888888
41.3,9700000,5,12,1,0.4166666666666667
41.5,10400000,8,13,1,0.6153846153846154
47.0,31700000,15,29,1,0.5172413793103449
34.1,17990000,2,15,1,0.13333333333333333
52.0,17000000,6,12,1,0.5
37.9,19000000,9,25,1,0.36
30.5,17000000,6,8,1,0.75
57.9,37800000,4,29,1,0.13793103448275862
43.8,11300000,5,14,1,0.35714285714285715
34.6,10500000,9,9,1,1.0
43.1,21500000,3,20,1,0.15
63.0,55000000,12,34,1,0.35294117647058826
35.2,10500000,12,12,1,1.0
32.5,7800000,1,9,1,0.1111111111111111
36.8,8200000,2,14,1,0.14285714285714285
35.0,8200000,11,12,1,0.9166666666666666
38.3,10400000,12,24,1,0.5
31.8,21000000,5,34,1,0.14705882352941177
33.0,10500000,6,9,1,0.6666666666666666
33.1,10900000,2,18,1,0.1111111111111111
41.0,16900000,11,16,1,0.6875
37.0,11000000,7,16,1,0.4375
32.6,8800000,3,9,1,0.3333333333333333
43.6,17150000,10,15,1,0.6666666666666666
35.1,9300000,5,12,1,0.4166666666666667
39.0,16000000,16,17,1,0.9411764705882353
36.0,15000000,5,9,1,0.5555555555555556
30.0,9800000,3,9,1,0.3333333333333333
35.6,13500000,12,15,1,0.8
43.0,9750000,1,3,1,0.3333333333333333
32.0,11550000,1,8,1,0.125
30.2,10850000,6,8,1,0.75
35.0,10499000,2,3,1,0.6666666666666666
35.1,12899000,4,24,1,0.16666666666666666
30.0,8900000,5,5,1,1.0
37.6,11300000,2,16,1,0.125
39.4,9100000,1,14,1,0.07142857142857142
45.0,18990000,2,20,1,0.1
39.6,11500000,8,17,1,0.47058823529411764
51.7,11800000,9,14,1,0.6428571428571429
38.1,13500000,7,15,1,0.4666666666666667
39.4,9000000,6,21,1,0.2857142857142857
32.4,9590000,9,9,1,1.0
34.0,13990000,2,5,1,0.4
38.7,10500000,6,16,1,0.375
35.0,10300000,12,12,1,1.0
31.3,10400000,5,9,1,0.5555555555555556
37.7,11990000,7,19,1,0.3684210526315789
38.4,13590000,12,23,1,0.5217391304347826
45.8,10500000,5,16,1,0.3125
30.8,6500000,1,3,1,0.3333333333333333
39.0,18490000,14,19,1,0.7368421052631579
32.9,9100000,7,9,1,0.7777777777777778
36.6,8500000,9,12,1,0.75
32.5,9900000,5,9,1,0.5555555555555556
38.1,12990000,16,17,1,0.9411764705882353
37.0,29300000,6,23,1,0.2608695652173913
39.0,13200000,17,18,1,0.9444444444444444
38.0,13300000,10,17,1,0.5882352941176471
47.0,20990000,9,34,1,0.2647058823529412
30.0,10150000,2,5,1,0.4
42.0,11950000,9,12,1,0.75
34.4,8700000,2,9,1,0.2222222222222222
35.2,23800000,6,20,1,0.3
46.7,17600000,20,25,1,0.8
29.9,9500000,1,5,1,0.2
40.8,9900000,5,18,1,0.2777777777777778
34.0,19980000,16,33,1,0.48484848484848486
38.5,13500000,6,8,1,0.75
40.0,19800000,8,31,1,0.25806451612903225
31.6,10350000,1,9,1,0.1111111111111111
39.0,10949000,16,24,1,0.6666666666666666
42.5,15900000,1,11,1,0.09090909090909091
40.0,15900000,13,14,1,0.9285714285714286
40.5,11200000,11,19,1,0.5789473684210527
34.0,8200000,8,9,1,0.8888888888888888
46.0,25500000,2,23,1,0.08695652173913043
35.5,8400000,8,22,1,0.36363636363636365
36.0,10300000,3,9,1,0.3333333333333333
36.0,13500000,3,15,1,0.2
33.0,10199000,9,9,1,1.0
58.4,16900000,7,10,1,0.7
29.4,11800000,5,9,1,0.5555555555555556
29.7,12750000,4,9,1,0.4444444444444444
36.1,22000000,15,20,1,0.75
38.1,9350000,1,17,1,0.058823529411764705
32.7,10500000,3,9,1,0.3333333333333333
30.1,23990000,22,32,1,0.6875
40.0,14700000,2,16,1,0.125
46.3,21000000,14,34,1,0.4117647058823529
40.0,25000000,3,26,1,0.11538461538461539
35.7,17300000,11,16,1,0.6875
34.2,15790000,12,12,1,1.0
37.9,11499999,16,20,1,0.8
38.65,20000000,7,22,1,0.3181818181818182
35.0,9950000,12,12,1,1.0
31.8,11900000,5,8,1,0.625
38.9,11500000,3,14,1,0.21428571428571427
52.8,16500000,5,5,1,1.0
39.5,14800000,9,17,1,0.5294117647058824
49.0,31000000,12,14,1,0.8571428571428571
37.8,12950000,9,17,1,0.5294117647058824
45.5,32500000,6,14,1,0.42857142857142855
45.0,34900000,13,15,1,0.8666666666666667
46.0,11111111,4,14,1,0.2857142857142857
18.5,6900000,14,16,1,0.875
44.9,8200000,13,16,1,0.8125
38.5,9500000,17,18,1,0.9444444444444444
32.8,8500000,9,9,1,1.0
31.8,8790000,15,16,1,0.9375
41.0,7800000,7,8,1,0.875
30.0,9000000,2,2,1,1.0
34.8,9300000,8,9,1,0.8888888888888888
38.0,12100000,3,17,1,0.17647058823529413
38.4,9500000,5,17,1,0.29411764705882354
36.5,9499999,6,18,1,0.3333333333333333
39.8,14370000,5,24,1,0.20833333333333334
32.8,9950000,9,9,1,1.0
37.0,10200000,10,12,1,0.8333333333333334
42.1,15300000,18,33,1,0.5454545454545454
38.8,10300000,9,18,1,0.5
36.3,10500000,5,15,1,0.3333333333333333
37.7,8700000,10,19,1,0.5263157894736842
36.8,10500000,21,23,1,0.9130434782608695
31.6,10650000,14,25,1,0.56
38.5,13800000,12,17,1,0.7058823529411765
38.0,10800000,9,17,1,0.5294117647058824
32.4,10999000,4,9,1,0.4444444444444444
34.4,8000000,12,16,1,0.75
46.9,10900000,4,17,1,0.23529411764705882
30.5,10990000,1,5,1,0.2
38.0,11999999,15,17,1,0.8823529411764706
30.9,10990000,6,9,1,0.6666666666666666
34.5,11490000,6,16,1,0.375
37.5,11000000,8,17,1,0.47058823529411764
34.2,11500000,12,22,1,0.5454545454545454
37.7,11700000,6,17,1,0.35294117647058826
52.4,15800000,5,5,1,1.0
36.1,11700000,12,16,1,0.75
34.2,11800000,6,14,1,0.42857142857142855
33.0,9500000,9,9,1,1.0
31.6,12000000,6,12,1,0.5
34.8,12000000,2,12,1,0.16666666666666666
40.0,12250000,8,20,1,0.4
37.8,12300000,9,17,1,0.5294117647058824
33.0,8980000,3,5,1,0.6
34.8,13200000,3,23,1,0.13043478260869565
33.0,9990000,3,9,1,0.3333333333333333
41.1,17300000,17,18,1,0.9444444444444444
36.0,18499000,14,20,1,0.7
29.9,12800000,2,8,1,0.25
39.9,15400000,24,25,1,0.96
39.3,9300000,5,14,1,0.35714285714285715
40.9,15600000,13,25,1,0.52
30.6,13000000,3,5,1,0.6
46.2,15950000,2,8,1,0.25
33.1,6000000,1,9,1,0.1111111111111111
34.0,13450000,5,9,1,0.5555555555555556
37.4,18000000,15,19,1,0.7894736842105263
46.0,11300000,6,15,1,0.4
32.5,13350000,20,23,1,0.8695652173913043
32.0,12350000,10,33,1,0.30303030303030304
32.7,15500000,4,9,1,0.4444444444444444
38.1,14700000,9,17,1,0.5294117647058824
48.9,18900000,8,24,1,0.3333333333333333
43.7,12400000,1,17,1,0.058823529411764705
35.0,10499000,8,12,1,0.6666666666666666
38.0,12990000,10,17,1,0.5882352941176471
38.5,21300000,2,25,1,0.08
37.0,20500000,4,33,1,0.12121212121212122
35.2,12950000,8,9,1,0.8888888888888888
38.0,19100000,13,23,1,0.5652173913043478
57.0,16500000,7,31,1,0.22580645161290322
34.0,14000000,7,16,1,0.4375
