author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
ID 12891703,homeowner,https://www.cian.ru/sale/flat/315747133/,Москва,sale,flat,10,18,1,32.0,-1,0,13590000,Останкинский,Березовая аллея,19к1,Ботанический сад,Апарт-комплекс Легендарный квартал
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/315253252/,Москва,sale,flat,71,79,1,79.0,-1,0,75000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
ID 130430577,homeowner,https://www.cian.ru/sale/flat/316847288/,Москва,sale,flat,3,17,1,35.5,-1,0,12000000,Некрасовка, Лавриненко,13к3,Некрасовка,Некрасовка
Доступный дом,real_estate_agent,https://www.cian.ru/sale/flat/316724491/,Москва,sale,flat,3,17,1,35.4,-1,0,13880000,, Эдварда Грига,15,Потапово,
Семен Гордый,realtor,https://www.cian.ru/sale/flat/286050252/,Москва,sale,flat,5,9,1,42.5,-1,0,7150000,, Семена Гордого,12,Крёкшино,Ново-Никольское
Mr.Flip,real_estate_agent,https://www.cian.ru/sale/flat/316325732/,Москва,sale,flat,3,19,1,37.5,-1,0,7800000,Некрасовка,Рождественская ,21к2,Некрасовка,
Champine,real_estate_agent,https://www.cian.ru/sale/flat/316709399/,Москва,sale,flat,8,13,1,54.8,-1,0,40948000,Южнопортовый,Сосинская ,8,Волгоградский проспект,Champine
ID 5226,realtor,https://www.cian.ru/sale/flat/316082933/,Москва,sale,flat,2,9,1,26.6,-1,0,7500000,Ивановское,Малый Купавенский проезд,5К1,Первомайская,
ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/308257993/,Москва,sale,flat,1,22,1,20.5,-1,0,4270000,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
ID 110951384,homeowner,https://www.cian.ru/sale/flat/316968019/,Москва,sale,flat,2,20,1,44.4,-1,0,18000000,Ховрино,Левобережная ,4к5,Беломорская,
ЛюксДом,real_estate_agent,https://www.cian.ru/sale/flat/306867070/,Москва,sale,flat,16,36,1,41.1,-1,0,33000000,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк
Mr.Flip,real_estate_agent,https://www.cian.ru/sale/flat/316766731/,Москва,sale,flat,9,16,1,40.8,-1,0,11400000,Бутырский, Яблочкова,25К3,Тимирязевская,
ID 117472686,homeowner,https://www.cian.ru/sale/flat/316499489/,Москва,sale,flat,8,9,1,35.0,-1,0,25800000,Хамовники,Ростовская набережная,3,Смоленская,
Времена года,real_estate_agent,https://www.cian.ru/sale/flat/315443321/,Москва,sale,flat,5,6,1,29.0,-1,0,37000000,Хамовники,Зубовская ,7,Парк Культуры,Roza Rossa
OPN PARTNER,real_estate_agent,https://www.cian.ru/sale/flat/316697475/,Москва,sale,flat,11,20,1,40.0,-1,0,11500000,Бирюлево Восточное,6-я Радиальная ,7/1к2,Царицыно,Царицыно-2
Villagio Realty,real_estate_agent,https://www.cian.ru/sale/flat/316324230/,Москва,sale,flat,2,8,1,57.7,-1,0,78000000,Таганский,Тессинский переулок,1,Чкаловская,"Тессинский, 1"
